,Unnamed: 0,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),점포구분명,X_modified,Y_modified
0,48,3010000,2.0123e+18,19791227,,1,영업/정상,1,정상영업,,,,19971227.0,02-772-3871,59979.25,,,서울특별시 중구 남대문로 81 (소공동),100721.0,롯데백화점 본점,20170800000000.0,I,2018.8.31 23:59,백화점,198259.6536,451392.1982,대규모점포,1951844.4621736484,953917.7425304065
1,75,3010000,2.0053e+18,19731030,,1,영업/정상,1,정상영업,,,,,02 7712500,13877.55,,서울특별시 중구 남대문로2가 123호,서울특별시 중구 남대문로 67 (남대문로2가),,롯데쇼핑본점영플라자,20200400000000.0,U,2020.5.2 2:40,백화점,198315.5327,451248.1416,대규모점포,1951700.1646796213,953972.8312540945
2,107,3020000,2.0063e+18,20060825,,1,영업/정상,1,정상영업,,,,,02)2012-0101,17898.53,,서울특별시 용산구 한강로3가 40번지 999호,서울특별시 용산구 한강대로23길 55 (한강로3가),140780.0,아이파크(I PARK)백화점,20190700000000.0,U,2019.7.19 2:40,백화점,196762.0774,447480.0396,대규모점포,1947941.834086586,952399.9035521937
3,126,3030000,2.0053e+18,20050331,,1,영업/정상,1,정상영업,,,,,02-3408-1234,17318.0,133120.0,서울특별시 성동구 성수동2가 333번지 16호,서울특별시 뚝섬로 379,133120.0,(주)이마트 성수점,20200500000000.0,U,2020.5.3 2:40,백화점,204614.2727,448607.4413,대규모점포,1949026.9398947011,960254.9751376705
4,166,3040000,2.0083e+18,20080822,,1,영업/정상,1,정상영업,,,,,0002 22182802,26203.17,143003.0,서울특별시 광진구 자양동 227번지 342호 롯데백화점 스타시티점,서울특별시 광진구 능동로 92 (자양동),143854.0,롯데백화점 건대스타시티점,20180700000000.0,I,2018.8.31 23:59,백화점,206217.4347,448506.2187,대규모점포,1948917.2138297772,961856.9499623685
5,178,3050000,2.01031e+18,20100723,,1,영업/정상,1,정상영업,,,,,237072903,40346.6,130851.0,서울특별시 동대문구 전농1동 591번지 53호,서울특별시 동대문구 왕산로 214 (전농동),130851.0,롯데백화점 청량리역사점,20170700000000.0,I,2018.8.31 23:59,백화점,204081.2821,453187.3952,대규모점포,1953607.8903336488,959746.6207896504
6,266,3070000,2.00131e+18,20010811,,1,영업/정상,1,정상영업,,,,,02  21173014,36583.0,,서울특별시 성북구 길음동 20번지 1호,서울특별시 성북구 동소문로 315 (길음동 현대백화점미아점),136719.0,현대백화점 미아점,20200400000000.0,U,2020.4.24 2:40,백화점,202466.8011,456227.5717,대규모점포,1956655.4606637498,958149.0121530693
7,307,3080000,2.00631e+18,20061214,,1,영업/정상,1,정상영업,,,,,02   9442500,45651.37,,서울특별시 강북구 미아동 70번지 6   호,서울특별시 강북구 도봉로 62 (미아동),142804.0,롯데백화점 미아점,20170400000000.0,I,2018.8.31 23:59,백화점,202625.6463,456875.974,대규모점포,1957302.7549014518,958311.2551073206
8,350,3100000,2.00531e+18,20050826,,1,영업/정상,1,정상영업,,,,,02950 2500,48227.17,,서울특별시 노원구 상계동 713호,서울특별시 노원구 동일로 1414 (상계동),139708.0,롯데백화점 노원점,20200500000000.0,U,2020.5.24 2:40,백화점,205320.2848,461419.8818,대규모점포,1961830.4401634089,961029.07870955
9,352,3100000,2.00731e+18,20070419,,1,영업/정상,1,정상영업,,,,,02 9719000,10292.0,,서울특별시 노원구 중계동 506번지 1   호,,,건영옴니백화점,20150300000000.0,I,2018.8.31 23:59,백화점,205645.892,459609.0125,대규모점포,1960018.5635059082,961344.8793525785
10,411,3120000,1.99231e+18,19921119,,1,영업/정상,1,정상영업,,,,,02-3145-3154,35471.76,120834.0,서울특별시 서대문구 창천동 30번지 33호,서울특별시 서대문구 신촌로 83 (창천동),,현대백화점 신촌점,20170700000000.0,I,2018.8.31 23:59,백화점,194265.0676,450433.691,대규모점포,1950907.6336599824,949919.6196218834
11,461,3140000,2.00231e+18,20020809,,1,영업/정상,1,정상영업,,,,20020809.0,221632233,38258.0,,서울특별시 양천구 목동 916호,서울특별시 양천구 목동동로 257 (목동),,현대백화점목동점,20200400000000.0,U,2020.4.26 2:40,백화점,188884.0756,447186.8886,대규모점포,1947690.7763597586,944523.4143578534
12,462,3140000,2.00431e+18,20040604,,1,영업/정상,1,정상영업,,,,,266789236,24319.0,,서울특별시 양천구 목동 917번지 6호,서울특별시 양천구 목동동로 309 (목동),,행복한백화점,20190200000000.0,U,2019.2.15 2:40,백화점,188977.1711,447466.355,대규모점포,1947969.638775868,944617.963107668
13,495,3150000,2.01132e+18,20110919,,1,영업/정상,1,정상영업,,,,,2667-9000,34547.21,157930.0,서울특별시 강서구 등촌3동 689번지 외 2,서울특별시 강서구 강서로56길 17 (등촌동),157930.0,(주) 이랜드리테일 강서점,20200200000000.0,U,2020.3.1 2:40,백화점,185824.4285,450866.2521,대규모점포,1951385.0350322532,941484.5564292478
14,558,3160000,2.01132e+18,20110810,,1,영업/정상,1,정상영업,,,,,234165282,38414.15,152888.0,서울특별시 구로구 신도림동 692번지,서울특별시 구로구 경인로 662 (신도림동),152888.0,주식회사 현대백화점 디큐브시티,20200500000000.0,U,2020.5.28 2:40,백화점,190107.0454,445157.6264,대규모점포,1945655.7836155575,945735.1005649744
15,595,3180000,1.99132e+18,19910501,,1,영업/정상,1,정상영업,,,,,226708832,53086.27,150030.0,서울특별시 영등포구 영등포동 618번지 496호,,,롯데백화점 영등포점,20200400000000.0,U,2020.4.16 2:40,백화점,191741.3458,445970.3076,대규모점포,1946459.4438161917,947373.0954856469
16,610,3180000,2.02032e+18,20200102,,1,영업/정상,1,정상영업,,,,,02-2090-6133,84573.34,,서울특별시 영등포구 여의도동 22번지,서울특별시 영등포구 여의대로 108 (여의도동),7335.0,현대백화점 여의도점,20200500000000.0,U,2020.5.10 2:40,백화점,193592.0004,447092.6294,대규모점포,1947571.4679085843,949229.0075883145
17,686,3200000,2.01232e+18,19971107,,1,영업/정상,1,정상영업,,,,,02-3289-8728,21711.05,151718.0,서울특별시 관악구 보라매동 729호 22통 롯데백화점,서울특별시  봉천로 209,151718.0,롯데쇼핑(주) 관악점,20170400000000.0,I,2018.8.31 23:59,백화점,193301.8858,443151.5613,대규모점포,1943633.4859106583,948918.0154917678
18,713,3210000,2.01232e+18,20120514,,1,영업/정상,1,정상영업,,,,,530-5802,12595.0,137711.0,서울특별시 서초구 잠원동 70번지 5호 뉴코아백화점빌딩,서울특별시 서초구 잠원로 37-6 (잠원동 뉴코아백화점빌딩),137711.0,뉴코아백화점,20200300000000.0,U,2020.3.7 2:40,백화점,200367.985,445207.6635,대규모점포,1945651.148964045,955992.2754497917
19,736,3210000,2.00532e+18,20150922,,1,영업/정상,1,정상영업,,,,,02-3479-1005,60945.95,,서울특별시 서초구 반포동 19번지 3호,서울특별시 서초구 신반포로 176 (반포동),,신세계백화점 강남점,20200500000000.0,U,2020.5.23 2:40,백화점,200250.4478,444683.2205,대규모점포,1945127.5409135325,955871.9919605596
20,741,3220000,2.00132e+18,19850708,,1,영업/정상,1,정상영업,,,,,234494406,10250.0,,서울특별시 강남구 압구정동 515호,서울특별시 강남구 압구정로 407 (압구정동 갤러리아백화점),135902.0,갤러리아백화점(동관),20180100000000.0,I,2018.8.31 23:59,백화점,203604.7617,447316.2228,대규모점포,1947741.6210464984,959238.9895418758
21,749,3220000,2.00132e+18,20000616,,1,영업/정상,1,정상영업,,,,,02 5312902,26532.0,,서울특별시 강남구 대치동 937호,서울특별시 강남구 도곡로 401 (대치동),135704.0,롯데백화점(강남점),20170400000000.0,I,2018.8.31 23:59,백화점,204669.5434,443873.6212,대규모점포,1944294.7339568397,960285.0055851737
22,762,3220000,2.01132e+18,20110412,,1,영업/정상,1,정상영업,,,,,269471234,3386.04,135948.0,서울특별시 강남구 청담동 4번지 1호 외 9필지,서울특별시 강남구 도산대로 442 (청담동),135948.0,SSG Food Market 백화점,20200500000000.0,U,2020.5.20 2:40,백화점,203789.5881,446796.1283,대규모점포,1947220.7509409608,959420.9705069091
23,783,3220000,2.00132e+18,19851130,,1,영업/정상,1,정상영업,,,,,234495722,37604.54,135724.0,서울특별시 강남구 압구정동 429번지,서울특별시 강남구 압구정로 165 (압구정동 현대백화점본점),135724.0,(주)현대백화점 본점,20200400000000.0,U,2020.4.23 2:40,백화점,202358.5057,447232.9557,대규모점포,1947665.0278554435,957992.7900327718
24,784,3220000,2.00132e+18,19881010,,1,영업/정상,1,정상영업,,,,,02 5522233,46111.46,,서울특별시 강남구 삼성동 159번지 7호,서울특별시 강남구 테헤란로 517 (삼성동 무역센터현대백화점),135730.0,현대백화점 무역센터점,20200400000000.0,U,2020.4.22 2:40,백화점,205210.3588,445154.4223,대규모점포,1945572.1382770708,960832.4234747335
25,785,3220000,2.00132e+18,19850318,,1,영업/정상,1,정상영업,,,,,234494306,15358.0,,서울특별시 강남구 압구정동 494호,서울특별시 강남구 압구정로 343 (압구정동 갤러리아백화점),135902.0,갤러리아백화점(서관),20180100000000.0,I,2018.8.31 23:59,백화점,203470.8484,447369.5799,대규모점포,1947795.670241909,959105.4143759088
26,832,3230000,1.99832e+18,19881112,,1,영업/정상,1,정상영업,,,,,024115551~4,72582.24,,서울특별시 송파구 잠실동 40번지 1호,서울특별시 송파구 올림픽로 240 (잠실동),138721.0,롯데백화점 잠실점,20170700000000.0,I,2018.8.31 23:59,백화점,208589.3633,445455.9041,대규모점포,1945855.5007676405,964211.6633169092
27,843,3230000,2.01432e+18,20140717,,1,영업/정상,1,정상영업,,,,,02-2146-2181,31680.32,138240.0,서울특별시 송파구 신천동 29번지,,,롯데백화점 에비뉴엘 월드타워점,20170400000000.0,I,2018.8.31 23:59,백화점,209074.9008,445657.8093,대규모점포,1946054.7374931509,964698.078301191
28,873,3240000,1.99932e+18,19990412,,1,영업/정상,1,정상영업,,,,,02-2225-8701,36175.0,,서울특별시 강동구 천호동 455번지 8호,서울특별시 강동구 천호대로 1005 (천호동 현대백화점),134779.0,현대백화점 천호점,20200500000000.0,U,2020.5.6 2:40,백화점,210931.6435,448522.0798,대규모점포,1948907.943664785,966569.3225309179
29,914,3010000,2.0103e+18,19730410,,1,영업/정상,1,정상영업,,,,,02-310-1041,56336.98,100747.0,서울특별시 중구 충무로1가 52번지 5호 신세계백화점건물,서울특별시 중구 소공로 63 (충무로1가신세계백화점건물),,신세계백화점,20200600000000.0,U,2019.12.5 23:09,백화점,198263.9084,450960.763,,1951413.1752802543,953919.6949365756
30,916,3160000,2.02032e+18,20200626,,1,영업/정상,1,정상영업,,,,,02-323-0456,49220.79,,서울특별시 구로구 구로동 573,서울특별시 구로구 구로중앙로 152 (구로동),8292.0,이랜드리테일 NC구로점,20200600000000.0,I,2019.12.5 22:08,백화점,189570.3609,444336.0513,,1944837.3848154924,945194.2481578217
31,917,3180000,2.00932e+18,19821215,,1,영업/정상,1,정상영업,,,,20090821.0,2639-1041,11893.83,150985.0,서울특별시 영등포구 영등포동4가 434번지 5호 신세계백화점,서울특별시 영등포구 영중로 9 (영등포동4가 신세계백화점),150985.0,(주)신세계 타임스퀘어점,20200600000000.0,U,2019.12.7 0:02,백화점,191581.5003,446108.8072,,1946598.7410654642,947214.0499849176
32,41,3010000,2.0103e+18,20000821,,1,영업/정상,1,정상영업,,,,,02-727-1471,12585.13,100881.0,서울특별시 중구 회현동1가 204번지 메사빌딩,서울특별시 중구 남대문시장10길 2 (회현동1가메사빌딩),,신세계백화점메사점,20200500000000.0,U,2020.5.8 2:40,쇼핑센터,198129.4355,450900.2397,대규모점포,1951353.393029215,953784.9525797993
33,389,3110000,2.00731e+18,20070411,,1,영업/정상,1,정상영업,,,,,02  34172001,16972.65,,서울특별시 은평구 대조동 240호,서울특별시 은평구 불광로 20 (대조동),,엔씨백화점 불광점,20200200000000.0,U,2020.2.29 2:40,쇼핑센터,193661.7324,456379.1939,대규모점포,1956854.026522931,949348.2411354592
